label	mode	rtt	cap_bps	mbps	wall_mbps	elapsed_ms	go_cpu_s	go_cores	chrome_cores	sent_bytes	received_bytes	shim_fwd	shim_drop	shim_write_err	dg_per_mib	wire_ratio	dgram_bytes	cs_per_gb	cores_per_100mbps	ceil_mbps
e23-rawchunk16KiB-rtt12-cap10MB-r1	raw	12	10000000	74.57	74.04	7199	3.4694	0.4819	0.2620	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	51.6975	0.64622	84.0
e23-rawchunk64KiB-rtt12-cap10MB-r1	raw	12	10000000	74.88	74.03	7170	3.7939	0.5291	0.2773	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	56.5336	0.70667	82.8
e23-rawchunk256KiB-rtt12-cap10MB-r1	raw	12	10000000	75.16	74.57	7143	3.6651	0.5131	0.2684	67108864	67108864	86066	0	0	1344.8	1.0001	779.7	54.6142	0.68268	84.0
e23-rawchunk16KiB-rtt12-cap10MB-r2	raw	12	10000000	53.60	53.16	10017	3.4446	0.3439	0.1424	67108864	67108864	86818	0	0	1356.5	1.0088	773.0	51.3293	0.64162	76.2
e23-rawchunk64KiB-rtt12-cap10MB-r2	raw	12	10000000	74.86	74.17	7171	3.7428	0.5219	0.2803	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	55.7713	0.69714	82.6
e23-rawchunk256KiB-rtt12-cap10MB-r2	raw	12	10000000	75.16	74.50	7143	3.8345	0.5368	0.2857	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	57.1386	0.71423	88.2
e23-rawchunk16KiB-rtt12-cap10MB-r3	raw	12	10000000	74.60	73.90	7197	4.0984	0.5695	0.2927	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	61.0707	0.76338	85.8
e23-rawchunk64KiB-rtt12-cap10MB-r3	raw	12	10000000	74.88	74.25	7170	3.9212	0.5469	0.2957	67108864	67108864	86066	0	0	1344.8	1.0001	779.7	58.4298	0.73037	83.8
e23-rawchunk256KiB-rtt12-cap10MB-r3	raw	12	10000000	75.16	74.52	7143	3.7911	0.5307	0.2823	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	56.4915	0.70614	79.8
e23-rawchunk16KiB-rtt71-cap10MB-r1	raw	71	10000000	10.52	10.51	51016	4.5090	0.0884	0.0366	67108864	67108864	86876	0	0	1357.4	1.0095	772.5	67.1900	0.83988	20.6
e23-rawchunk64KiB-rtt71-cap10MB-r1	raw	71	10000000	19.89	19.84	26994	3.9034	0.1446	0.0703	67108864	67108864	88996	0	0	1390.6	1.0341	754.1	58.1653	0.72707	101.4
e23-rawchunk256KiB-rtt71-cap10MB-r1	raw	71	10000000	10.74	10.73	49989	4.3553	0.0871	0.0374	67108864	67108864	86870	0	0	1357.3	1.0094	772.5	64.8995	0.81124	21.0
e23-rawchunk16KiB-rtt71-cap10MB-r2	raw	71	10000000	9.57	9.55	56122	4.5569	0.0812	0.0354	67108864	67108864	87125	0	0	1361.3	1.0124	770.3	67.9030	0.84879	21.6
